Date,Name,Year,Letterboxd URI
2021-10-03,Titane,2021,https://boxd.it/nlQC
2021-10-14,Hereditary,2018,https://boxd.it/hNVe
2021-10-17,Election,1999,https://boxd.it/1YEc
2021-10-20,Transit,2018,https://boxd.it/gUK6
2021-10-21,Blackfish,2013,https://boxd.it/4Ym4
2021-10-23,Rosemary's Baby,1968,https://boxd.it/29zM
2021-10-24,Over the Garden Wall,2014,https://boxd.it/eqFw
2021-10-25,Dune,2021,https://boxd.it/fA7G
2021-10-30,Last Night in Soho,2021,https://boxd.it/lbJC
2021-11-01,Magnolia,1999,https://boxd.it/2aze
2021-11-01,The Host,2006,https://boxd.it/28ZY
2021-11-03,Hard Eight,1996,https://boxd.it/20DU
2021-11-07,The French Dispatch,2021,https://boxd.it/jLP8
2021-11-08,Inherent Vice,2014,https://boxd.it/5hla
2021-11-09,Some Kind of Heaven,2020,https://boxd.it/nH7Y
2021-11-15,Spencer,2021,https://boxd.it/qPMG
2021-11-16,We Need to Talk About Kevin,2011,https://boxd.it/2pTS
2021-11-17,La Haine,1995,https://boxd.it/2as8
2021-11-21,Swiss Army Man,2016,https://boxd.it/bDG2
2021-11-24,Paths of Glory,1957,https://boxd.it/29b6
2021-11-29,Irreversible,2002,https://boxd.it/29as
2021-12-06,C'mon C'mon,2021,https://boxd.it/nrI0
2021-12-19,West Side Story,2021,https://boxd.it/iwt0
2021-12-24,The Matrix Reloaded,2003,https://boxd.it/2a1c
2021-12-27,The Matrix Revolutions,2003,https://boxd.it/2a12
